time,seconds_elapsed,temp
1766015720529000000,212.5,25
1766015721532000000,213.503,25
1766015722530000000,214.50099975585937,25
1766015723534000000,215.50500024414063,25
1766015724535000000,216.506,25
1766015725536000000,217.507,25
1766015726536000000,218.507,25
1766015727538000000,219.50899975585938,25
1766015728535000000,220.506,25
1766015729538000000,221.50899975585938,25
1766015730539000000,222.51,25
1766015731541000000,223.512,25
1766015732540000000,224.511,25
1766015733541000000,225.512,25
1766015734543000000,226.514,25
1766015735543000000,227.514,25
1766015736544000000,228.515,25
1766015737546000000,229.5169997558594,25
1766015738545000000,230.516,25
1766015739547000000,231.518,25
1766015740547000000,232.518,25
1766015741548000000,233.519,25
1766015742550000000,234.52100024414062,25
1766015743549000000,235.52,25
1766015744550000000,236.52100024414062,25
1766015745552000000,237.523,25
1766015746551000000,238.522,25
1766015747553000000,239.524,25
1766015748553000000,240.524,25
1766015749553000000,241.524,25
1766015750553000000,242.524,25
1766015751554000000,243.52499975585937,25
1766015752555000000,244.526,25
1766015753558000000,245.52900024414063,25
1766015754559000000,246.53,25
1766015755560000000,247.531,25
1766015756560000000,248.531,25
1766015757571000000,249.542,25
1766015758575000000,250.546,25
1766015759573000000,251.544,25
