time,seconds_elapsed,batteryLevel,batteryState,lowPowerMode
1766015509031000000,1.002,0.41999998688697815,unplugged,true
1766015510034000000,2.004999755859375,0.41999998688697815,unplugged,true
1766015511034000000,3.004999755859375,0.41999998688697815,unplugged,true
1766015512033000000,4.004,0.41999998688697815,unplugged,true
1766015513036000000,5.007,0.41999998688697815,unplugged,true
1766015514038000000,6.009000244140625,0.41999998688697815,unplugged,true
1766015515038000000,7.009000244140625,0.41999998688697815,unplugged,true
1766015516039000000,8.01,0.41999998688697815,unplugged,true
1766015517041000000,9.012,0.41999998688697815,unplugged,true
1766015518043000000,10.014,0.41999998688697815,unplugged,true
1766015519045000000,11.016,0.41999998688697815,unplugged,true
1766015520045000000,12.016,0.41999998688697815,unplugged,true
1766015521047000000,13.018,0.41999998688697815,unplugged,true
1766015522051000000,14.022,0.41999998688697815,unplugged,true
1766015523051000000,15.022,0.41999998688697815,unplugged,true
1766015524052000000,16.023,0.41999998688697815,unplugged,true
1766015525050000000,17.020999755859375,0.41999998688697815,unplugged,true
1766015526054000000,18.025000244140625,0.41999998688697815,unplugged,true
1766015527054000000,19.025000244140625,0.41999998688697815,unplugged,true
1766015528056000000,20.027,0.41999998688697815,unplugged,true
1766015529056000000,21.027,0.41999998688697815,unplugged,true
1766015530064000000,22.035,0.41999998688697815,unplugged,true
1766015531059000000,23.03,0.41999998688697815,unplugged,true
1766015532059000000,24.03,0.41999998688697815,unplugged,true
1766015533059000000,25.03,0.41999998688697815,unplugged,true
1766015534062000000,26.033000244140624,0.41999998688697815,unplugged,true
1766015535063000000,27.034,0.41999998688697815,unplugged,true
1766015536065000000,28.036,0.41999998688697815,unplugged,true
1766015537066000000,29.036999755859377,0.41999998688697815,unplugged,true
1766015538065000000,30.036,0.41999998688697815,unplugged,true
1766015539071000000,31.042,0.41999998688697815,unplugged,true
1766015540069000000,32.04,0.41999998688697815,unplugged,true
1766015541071000000,33.042,0.41999998688697815,unplugged,true
1766015542072000000,34.043,0.41999998688697815,unplugged,true
1766015543073000000,35.044,0.41999998688697815,unplugged,true
1766015544073000000,36.044,0.41999998688697815,unplugged,true
1766015545075000000,37.046,0.41999998688697815,unplugged,true
1766015546076000000,38.047,0.41999998688697815,unplugged,true
1766015547077000000,39.048,0.41999998688697815,unplugged,true
1766015548077000000,40.048,0.41999998688697815,unplugged,true
