time,seconds_elapsed,z,y,x
1766015590134217200,82.10521728515624,7.7440505027771,7.129950523376465,3.094050168991089
1766015590143824000,82.11482397460938,7.852050304412842,6.880950450897217,3.312000274658203
1766015590153430500,82.12443041992188,7.921950340270996,6.673050403594971,3.2950501441955566
1766015590163037200,82.134037109375,7.845000267028809,6.603000164031982,3.075000047683716
1766015590172643800,82.14364379882812,7.617000579833984,6.676950454711914,2.703000068664551
1766015590182250500,82.15325048828124,7.215000152587891,6.862050533294678,2.2270500659942627
1766015590191857200,82.16285717773438,6.592950344085693,7.111050128936768,1.915950059890747
1766015590211070500,82.18207055664062,5.340000152587891,7.465050220489502,2.067000150680542
1766015590220677000,82.19167700195312,4.942950248718262,7.477050304412842,2.244000196456909
1766015590230284000,82.20128393554687,4.801950454711914,7.515000343322754,2.203050136566162
1766015590239890700,82.210890625,4.845000267028809,7.635000228881836,1.9800001382827759
1766015590249497300,82.22049731445313,4.888050079345703,7.82895040512085,1.5730500221252441
1766015590268710400,82.23971044921875,4.5,7.963050365447998,1.071000099182129
1766015590278317300,82.2493173828125,4.138950347900391,7.923000335693359,1.1850000619888306
1766015590287924000,82.25892407226563,3.8230502605438232,7.954050540924072,1.6000500917434692
1766015590307137300,82.27813720703125,3.961050271987915,7.8510003089904785,2.305950164794922
1766015590316744000,82.28774389648437,4.419000148773193,7.693050384521484,2.373000144958496
1766015590326350600,82.2973505859375,4.966950416564941,7.587000370025635,2.01104998588562
1766015590335957200,82.30695727539063,5.5219502449035645,7.594050407409668,1.363050103187561
1766015590383990800,82.35499072265625,5.712000370025635,7.954050540924072,0.831000030040741
1766015590393597400,82.36459741210938,5.2420501708984375,7.699950218200684,1.2930001020431519
1766015590403204000,82.3742041015625,4.861950397491455,7.755000591278076,1.6500000953674316
1766015590412810800,82.38381079101562,4.593000411987305,7.957950592041016,1.8030000925064087
1766015590422417400,82.39341748046876,4.420950412750244,8.072999954223633,1.870050072669983
1766015590441631000,82.412630859375,4.4569501876831055,8.028000831604004,2.143050193786621
1766015590451237600,82.42223754882812,4.600950241088867,7.972950458526611,2.2990500926971436
1766015590460844300,82.43184423828124,4.762950420379639,7.879050254821777,2.30400013923645
1766015590480057600,82.4510576171875,4.816050052642822,7.8600006103515625,2.325000047683716
1766015590499271000,82.47027099609375,4.864050388336182,8.112000465393066,2.39205002784729
1766015590508877800,82.4798779296875,4.795050144195557,8.169000625610352,2.4660000801086426
1766015590518484500,82.489484375,4.62000036239624,8.112000465393066,2.5860002040863037
1766015590528091100,82.49909106445313,4.4160003662109375,8.136000633239746,2.632050037384033
1766015590537697800,82.50869775390625,4.258049964904785,8.385000228881836,2.6359500885009766
1766015590547304400,82.51830444335937,4.182000160217285,8.72700023651123,2.602950096130371
1766015590595337700,82.56633764648437,4.3279500007629395,8.755949974060059,1.7269500494003296
1766015590604944600,82.57594458007813,4.464000225067139,8.784000396728516,1.2930001020431519
1766015590652978000,82.62397802734375,4.972050189971924,10.03695011138916,0.4620000123977661
1766015590691404800,82.66240478515626,3.8370001316070557,9.168000221252441,1.8919501304626465
1766015590787472000,82.75847192382813,4.7470502853393555,8.455950736999512,2.233950138092041
1766015590816291800,82.78729174804687,3.6670501232147217,8.06100082397461,0.7429500222206116
1766015590835505400,82.80650537109375,3.3600001335144043,7.896000385284424,-1.0210500955581665
1766015590845112000,82.81611206054687,3.2119500637054443,8.107049942016602,-1.7320500612258911
1766015590854718700,82.82571875,3.0520501136779785,8.437050819396973,-2.1439499855041504
1766015590864325600,82.83532568359375,2.9410500526428223,8.72700023651123,-2.1610500812530518
1766015590873932500,82.8449326171875,2.7589502334594727,8.844000816345215,-1.7700001001358032
1766015590893145900,82.86414575195313,1.9000500440597534,8.719950675964355,-0.4339500069618225
1766015590902752500,82.87375244140625,1.4140501022338867,8.647950172424316,-0.08505000174045563
1766015590912359200,82.88335913085938,1.1890500783920288,8.638050079345703,-0.0799500048160553
1766015590921966000,82.89296606445312,1.1839500665664673,8.680950164794922,-0.27195000648498535
1766015590931572500,82.90257250976562,1.29705011844635,8.820000648498535,-0.5250000357627869
1766015590941179400,82.91217944335938,1.4449501037597656,8.989950180053711,-0.736050009727478
1766015590950786000,82.9217861328125,1.6680001020431519,9.081000328063965,-0.9469500184059143
1766015590960392700,82.93139282226562,1.8619500398635864,9.117000579833984,-1.0039499998092651
1766015590969999600,82.94099951171874,1.8780001401901245,9.241950035095215,-0.8179500102996826
1766015590979606300,82.95060620117188,1.9120501279830933,9.424050331115723,-0.3820500075817108
1766015590989213200,82.96021313476562,2.059950113296509,9.550950050354004,0.07695000618696213
1766015590998819600,82.96981958007812,2.326050043106079,9.517050743103027,0.5509500503540039
1766015591008426500,82.97942651367188,2.737950086593628,9.412050247192383,1.0110000371932983
1766015591018033200,82.989033203125,3.223950147628784,9.282000541687012,1.434000015258789
1766015591027639800,82.99863989257813,3.68595027923584,9.072000503540039,1.6399500370025635
1766015591037246700,83.00824682617187,4.13100004196167,8.85105037689209,1.5730500221252441
1766015591056460000,83.0274599609375,4.753950119018555,8.635950088500977,1.2570000886917114
1766015591066067000,83.03706689453125,4.878000259399414,8.550000190734863,1.0920000076293945
1766015591075673300,83.04667333984375,4.830000400543213,8.491950035095215,0.8290500640869141
1766015591085280300,83.0562802734375,4.560000419616699,8.674050331115723,0.6709500551223755
1766015591094887000,83.06588696289063,4.213050365447998,9.079050064086914,0.6349500417709351
1766015591104493600,83.07549365234375,3.9300003051757812,9.58905029296875,0.7140000462532043
1766015591114100500,83.0851005859375,3.8149502277374268,10.132050514221191,0.7540500164031982
1766015591123707100,83.09470703125,3.96405029296875,10.470000267028809,0.7999500632286072
1766015591133314000,83.10431396484375,4.339950084686279,10.348050117492676,1.0350000858306885
1766015591142920400,83.11392041015625,4.866000175476074,9.724950790405273,1.4010000228881836
1766015591152527400,83.12352734375,5.467050075531006,8.974050521850586,1.6330500841140747
1766015591162134000,83.13313403320312,5.929050445556641,8.44694995880127,1.7100000381469727
1766015591171741000,83.14274096679688,6.03000020980835,8.194950103759766,1.5180001258850098
1766015591181347600,83.15234765625,5.794950485229492,8.269950866699219,1.1400001049041748
1766015591190954200,83.16195434570312,5.368950366973877,8.542950630187988,0.703950047492981
