time,seconds_elapsed,type,isConnected,isInternetReachable,isWifiEnabled,isConnectionExpensive,ssid,bssid,strength,ipAddress,frequency,cellularGeneration,carrier
1766015626371000000,118.342,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015628370000000,120.34099975585937,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015630375000000,122.346,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015632379000000,124.35,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015634377000000,126.348,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015636378000000,128.34899975585938,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015638379000000,130.35,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015640385000000,132.356,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015642380000000,134.351,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015644382000000,136.35300024414062,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015646383000000,138.354,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015648383000000,140.354,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015650384000000,142.355,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015652387000000,144.358,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015654386000000,146.35699975585936,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015656386000000,148.35699975585936,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015658389000000,150.36,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015660391000000,152.362,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015662392000000,154.363,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015664395000000,156.366,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015666395000000,158.366,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015668396000000,160.367,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015670398000000,162.36900024414064,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015672398000000,164.36900024414064,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015674399000000,166.37,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015676401000000,168.372,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015678402000000,170.37299975585938,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015680402000000,172.37299975585938,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015682403000000,174.374,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015684403000000,176.374,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015686404000000,178.375,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015688406000000,180.37700024414062,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015690405000000,182.376,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015692407000000,184.378,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015694408000000,186.379,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015696408000000,188.379,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015698408000000,190.379,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015700410000000,192.38099975585936,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015702412000000,194.383,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015704415000000,196.386,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015706417000000,198.388,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015708419000000,200.39,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015710421000000,202.392,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015712421000000,204.392,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015714423000000,206.394,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015716425000000,208.396,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015718445000000,210.416,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015720446000000,212.41700024414064,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015722447000000,214.418,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015724448000000,216.419,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015726448000000,218.419,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015728450000000,220.42099975585938,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015730450000000,222.42099975585938,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015732451000000,224.422,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015734449000000,226.42,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015736457000000,228.428,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015738460000000,230.431,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015740459000000,232.43,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015742460000000,234.431,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015744462000000,236.43300024414063,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015746463000000,238.434,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015748463000000,240.434,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015750463000000,242.434,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015752463000000,244.434,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015754464000000,246.435,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015756464000000,248.435,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
1766015758469000000,250.44,wifi,true,true,true,false,,02:00:00:00:00:00,99,10.160.32.60,5660,,
